Z	Sym	日本語名	英語名	ラテン語名	周期	族	原子量（u）
1	H	水素	Hydrogen	Hydrogenium	1	1	1.00794（7）
2	He	ヘリウム	Helium	Helium	1	18	4.002602（2）
3	Li	リチウム	Lithium	Lithium	2	1	6.941（2）
4	Be	ベリリウム	Beryllium	Beryllium	2	2	9.012182（3）
5	B	ホウ素	Boron	Borium	2	13	10.811（7）
6	C	炭素	Carbon	Carbonium	2	14	12.0107（8）
7	N	窒素	Nitrogen	Nitrogenium	2	15	14.0067（2）
8	O	酸素	Oxygen	Oxygenium	2	16	15.9994（3）
9	F	フッ素	Fluorine	Fluorum	2	17	18.9984032（5）
10	Ne	ネオン	Neon	Neon	2	18	20.1797（6）
11	Na	ナトリウム	Sodium	Natrium	3	1	22.98976928（2）
12	Mg	マグネシウム	Magnesium	Magnesium	3	2	24.3050（6）
13	Al	アルミニウム	Aluminium[注 1]	Aluminium	3	13	26.9815386（8）
14	Si	ケイ素	Silicon	Silicium	3	14	28.0855（3）
15	P	リン	Phosphorus	Phosphorus	3	15	30.973762（2）
16	S	硫黄	Sulfur	Sulphur	3	16	32.065（5）
17	Cl	塩素	Chlorine	Chlorum	3	17	35.453（2）
18	Ar	アルゴン	Argon	Argon	3	18	39.948（1）
19	K	カリウム	Potassium	Kalium	4	1	39.0983（1）
20	Ca	カルシウム	Calcium	Calcium	4	2	40.078（4）
21	Sc	スカンジウム	Scandium	Scandium	4	3	44.955912（6）
22	Ti	チタン	Titanium	Titanium	4	4	47.867（1）
23	V	バナジウム	Vanadium	Vanadium	4	5	50.9415（1）
24	Cr	クロム	Chromium	Chromium	4	6	51.9961（6）
25	Mn	マンガン	Manganese	Manganum	4	7	54.938045（5）
26	Fe	鉄	Iron	Ferrum	4	8	55.845（2）
27	Co	コバルト	Cobalt	Cobaltum	4	9	58.933195（5）
28	Ni	ニッケル	Nickel	Niccolum	4	10	58.6934（4）
29	Cu	銅	Copper	Cuprum	4	11	63.546（3）
30	Zn	亜鉛	Zinc	Zincum	4	12	65.38（2）
31	Ga	ガリウム	Gallium	Gallium	4	13	69.723（1）
32	Ge	ゲルマニウム	Germanium	Germanium	4	14	72.64（1）
33	As	ヒ素	Arsenic	Arsenicum	4	15	74.92160（2）
34	Se	セレン	Selenium	Selenium	4	16	78.96（3）
35	Br	臭素	Bromine	Bromum	4	17	79.904（1）
36	Kr	クリプトン	Krypton	Krypton	4	18	83.798（2）
37	Rb	ルビジウム	Rubidium	Rubidium	5	1	85.4678（3）
38	Sr	ストロンチウム	Strontium	Strontium	5	2	87.62（1）
39	Y	イットリウム	Yttrium	Yttrium	5	3	88.90585（2）
40	Zr	ジルコニウム	Zirconium	Zirconium	5	4	91.224（2）
41	Nb	ニオブ	Niobium	Niobium	5	5	92.90638（2）
42	Mo	モリブデン	Molybdenum	Molybdenum	5	6	95.96（2）
43	Tc	テクネチウム	Technetium	Technetium	5	7	[98.9063]
44	Ru	ルテニウム	Ruthenium	Ruthenium	5	8	101.07（2）
45	Rh	ロジウム	Rhodium	Rhodium	5	9	102.90550（2）
46	Pd	パラジウム	Palladium	Palladium	5	10	106.42（1）
47	Ag	銀	Silver	Argentum	5	11	107.8682（2）
48	Cd	カドミウム	Cadmium	Cadmium	5	12	112.411（8）
49	In	インジウム	Indium	Indium	5	13	114.818（3）
50	Sn	スズ	Tin	Stannum	5	14	118.710（7）
51	Sb	アンチモン	Antimony	Stibium	5	15	121.760（1）
52	Te	テルル	Tellurium	Tellurium	5	16	127.60（3）
53	I	ヨウ素	Iodine	Iodum	5	17	126.90447（3）
54	Xe	キセノン	Xenon	Xenon	5	18	131.293（6）
55	Cs	セシウム	Caesium[注 3]	Caesium	6	1	132.9054519（2）
56	Ba	バリウム	Barium	Barium	6	2	137.327（7）
57	La	ランタン	Lanthanum	Lanthanum	6	3L	138.90547（7）
58	Ce	セリウム	Cerium	Cerium	6	3L	140.116（1）
59	Pr	プラセオジム	Praseodymium	Praseodymium	6	3L	140.90765（2）
60	Nd	ネオジム	Neodymium	Neodymium	6	3L	144.242（3）
61	Pm	プロメチウム	Promethium	Promethium	6	3L	[146.9151]
62	Sm	サマリウム	Samarium	Samarium	6	3L	150.36（2）
63	Eu	ユウロピウム	Europium	Europium	6	3L	151.964（1）
64	Gd	ガドリニウム	Gadolinium	Gadolinium	6	3L	157.25（3）
65	Tb	テルビウム	Terbium	Terbium	6	3L	158.92535（2）
66	Dy	ジスプロシウム	Dysprosium	Dysprosium	6	3L	162.500（1）
67	Ho	ホルミウム	Holmium	Holmium	6	3L	164.93032（2）
68	Er	エルビウム	Erbium	Erbium	6	3L	167.259（3）
69	Tm	ツリウム	Thulium	Thulium	6	3L	168.93421（2）
70	Yb	イッテルビウム	Ytterbium	Ytterbium	6	3L	173.054（5）
71	Lu	ルテチウム	Lutetium	Lutetium	6	3L	174.9668（1）
72	Hf	ハフニウム	Hafnium	Hafnium	6	4	178.49（2）
73	Ta	タンタル	Tantalum	Tantalum	6	5	180.94788（2）
74	W	タングステン	Tungsten	Wolframium	6	6	183.84（1）
75	Re	レニウム	Rhenium	Rhenium	6	7	186.207（1）
76	Os	オスミウム	Osmium	Osmium	6	8	190.23（3）
77	Ir	イリジウム	Iridium	Iridium	6	9	192.217（3）
78	Pt	白金	Platinum	Platinum	6	10	195.084（9）
79	Au	金	Gold	Aurum	6	11	196.966569（4）
80	Hg	水銀	Mercury	Hydrargyrum	6	12	200.59（2）
81	Tl	タリウム	Thallium	Thallium	6	13	204.3833（2）
82	Pb	鉛	Lead	Plumbum	6	14	207.2（1）
83	Bi	ビスマス	Bismuth	Bisemutum	6	15	208.98040（1）
84	Po	ポロニウム	Polonium	Polonium	6	16	[208.9824]
85	At	アスタチン	Astatine	Astatum	6	17	[209.9871]
86	Rn	ラドン	Radon	Radon	6	18	[222.0176]
87	Fr	フランシウム	Francium	Francium	7	1	[223.0197]
88	Ra	ラジウム	Radium	Radium	7	2	[226.0254]
89	Ac	アクチニウム	Actinium	Actinium	7	3A	[227.0278]
90	Th	トリウム	Thorium	Thorium	7	3A	232.03806（2）
91	Pa	プロトアクチニウム	Protactinium	Protactinium	7	3A	231.03588（2）
92	U	ウラン	Uranium	Uranium	7	3A	238.02891（3）
93	Np	ネプツニウム	Neptunium	Neptunium	7	3A	[237.0482]
94	Pu	プルトニウム	Plutonium	Plutonium	7	3A	[244.0642]
95	Am	アメリシウム	Americium	Americium	7	3A	[243.0614]
96	Cm	キュリウム	Curium	Curium	7	3A	[247.0703]
97	Bk	バークリウム	Berkelium	Berkelium	7	3A	[247.0703]
98	Cf	カリホルニウム	Californium	Californium	7	3A	[251.0796]
99	Es	アインスタイニウム	Einsteinium	Einsteinium	7	3A	[252.0829]
100	Fm	フェルミウム	Fermium	Fermium	7	3A	[257.0951]
101	Md	メンデレビウム	Mendelevium	Mendelevium	7	3A	[258.0986]
102	No	ノーベリウム	Nobelium	Nobelium	7	3A	[259.1009]
103	Lr	ローレンシウム	Lawrencium	Lawrencium	7	3A	[260.1053]
104	Rf	ラザホージウム	Rutherfordium	Rutherfordium	7	4	[261.1087]
105	Db	ドブニウム	Dubnium	Dubnium	7	5	[262.1138]
106	Sg	シーボーギウム	Seaborgium	Seaborgium	7	6	[263.1182]
107	Bh	ボーリウム	Bohrium	Bohrium	7	7	[262.1229]
108	Hs	ハッシウム	Hassium	Hassium	7	8	[277]
109	Mt	マイトネリウム	Meitnerium	Meitnerium	7	9	[278]
110	Ds	ダームスタチウム	Darmstadtium	Darmstadtium	7	10	[281]
111	Rg	レントゲニウム	Roentgenium	Roentgenium	7	11	[284]
112	Cn	コペルニシウム	Copernicium	Copernicium	7	12	[288]
113	Nh	ニホニウム	Nihonium	Nihonium	7	13	[293]
114	Fl	フレロビウム	Flerovium	Flerovium	7	14	[298]
115	Mc	モスコビウム	Moscovium	Moscovium	7	15	[299]
116	Lv	リバモリウム	Livermorium	Livermorium	7	16	[302]
117	Ts	テネシン	Tennessine	Tennessine	7	17	[310]
118	Og	オガネソン	Oganesson	Oganesson	7	18	[314]
